measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,1,<5 years,605,Polycystic ovarian syndrome,1,Number,1991,0.0,0.0,0.0
2,DALYs (Disability-Adjusted Life Years),6,China,3,Both,1,<5 years,605,Polycystic ovarian syndrome,1,Number,1991,0.0,0.0,0.0
2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,1,<5 years,605,Polycystic ovarian syndrome,2,Percent,1991,0.0,0.0,0.0
2,DALYs (Disability-Adjusted Life Years),6,China,3,Both,1,<5 years,605,Polycystic ovarian syndrome,2,Percent,1991,0.0,0.0,0.0
2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,1,<5 years,605,Polycystic ovarian syndrome,3,Rate,1991,0.0,0.0,0.0
2,DALYs (Disability-Adjusted Life Years),6,China,3,Both,1,<5 years,605,Polycystic ovarian syndrome,3,Rate,1991,0.0,0.0,0.0
2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,6,5-9 years,605,Polycystic ovarian syndrome,1,Number,1991,0.0,0.0,0.0
2,DALYs (Disability-Adjusted Life Years),6,China,3,Both,6,5-9 years,605,Polycystic ovarian syndrome,1,Number,1991,0.0,0.0,0.0
2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,6,5-9 years,605,Polycystic ovarian syndrome,2,Percent,1991,0.0,0.0,0.0
2,DALYs (Disability-Adjusted Life Years),6,China,3,Both,6,5-9 years,605,Polycystic ovarian syndrome,2,Percent,1991,0.0,0.0,0.0
2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,6,5-9 years,605,Polycystic ovarian syndrome,3,Rate,1991,0.0,0.0,0.0
2,DALYs (Disability-Adjusted Life Years),6,China,3,Both,6,5-9 years,605,Polycystic ovarian syndrome,3,Rate,1991,0.0,0.0,0.0
2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,7,10-14 years,605,Polycystic ovarian syndrome,1,Number,1991,1077.0607181674088,2437.2075950514045,408.0975449804472
2,DALYs (Disability-Adjusted Life Years),6,China,3,Both,7,10-14 years,605,Polycystic ovarian syndrome,1,Number,1991,1077.0607181674088,2437.2075950514045,408.0975449804472
2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,7,10-14 years,605,Polycystic ovarian syndrome,2,Percent,1991,0.0002736586240309991,0.0005758234852339787,0.00011401884914524107
2,DALYs (Disability-Adjusted Life Years),6,China,3,Both,7,10-14 years,605,Polycystic ovarian syndrome,2,Percent,1991,0.00011690244466676006,0.000247166691198708,4.815517437701983e-05
2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,7,10-14 years,605,Polycystic ovarian syndrome,3,Rate,1991,2.2144680381329356,5.010969419364982,0.8390603747366933
2,DALYs (Disability-Adjusted Life Years),6,China,3,Both,7,10-14 years,605,Polycystic ovarian syndrome,3,Rate,1991,1.0698844574672817,2.4209689217924137,0.40537846487246243
2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,8,15-19 years,605,Polycystic ovarian syndrome,1,Number,1991,6408.056827069246,13877.994246515595,2752.7724127689753
2,DALYs (Disability-Adjusted Life Years),6,China,3,Both,8,15-19 years,605,Polycystic ovarian syndrome,1,Number,1991,6408.056827069246,13877.994246515595,2752.7724127689753
2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,8,15-19 years,605,Polycystic ovarian syndrome,2,Percent,1991,0.001015477078098518,0.0020677084542142193,0.00046030296011982517
2,DALYs (Disability-Adjusted Life Years),6,China,3,Both,8,15-19 years,605,Polycystic ovarian syndrome,2,Percent,1991,0.0004446395733386171,0.0009068491144519921,0.00020221025029753878
2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,8,15-19 years,605,Polycystic ovarian syndrome,3,Rate,1991,10.864612285889459,23.52960200934362,4.667219062366814
2,DALYs (Disability-Adjusted Life Years),6,China,3,Both,8,15-19 years,605,Polycystic ovarian syndrome,3,Rate,1991,5.297249275200424,11.472306964108634,2.2755918154055093
2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,9,20-24 years,605,Polycystic ovarian syndrome,1,Number,1991,9235.07561502342,18865.180878439103,3974.119797171438
2,DALYs (Disability-Adjusted Life Years),6,China,3,Both,9,20-24 years,605,Polycystic ovarian syndrome,1,Number,1991,9235.07561502342,18865.180878439103,3974.119797171438
2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,9,20-24 years,605,Polycystic ovarian syndrome,2,Percent,1991,0.0011088149388094929,0.0021929977737006195,0.0004961651994562823
2,DALYs (Disability-Adjusted Life Years),6,China,3,Both,9,20-24 years,605,Polycystic ovarian syndrome,2,Percent,1991,0.0005107119871122548,0.001006648453267393,0.00022639739937767306
2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,9,20-24 years,605,Polycystic ovarian syndrome,3,Rate,1991,14.491784218396438,29.603453390962216,6.236233352001607
2,DALYs (Disability-Adjusted Life Years),6,China,3,Both,9,20-24 years,605,Polycystic ovarian syndrome,3,Rate,1991,7.034149639575306,14.369184488399966,3.026997775029225
2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,10,25-29 years,605,Polycystic ovarian syndrome,1,Number,1991,8540.574997285494,17823.1890505708,3603.6364401461938
2,DALYs (Disability-Adjusted Life Years),6,China,3,Both,10,25-29 years,605,Polycystic ovarian syndrome,1,Number,1991,8540.574997285494,17823.1890505708,3603.6364401461938
2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,10,25-29 years,605,Polycystic ovarian syndrome,2,Percent,1991,0.001020513999058559,0.0020377791348719513,0.0004539143877108617
2,DALYs (Disability-Adjusted Life Years),6,China,3,Both,10,25-29 years,605,Polycystic ovarian syndrome,2,Percent,1991,0.0004898371030553173,0.0009533558697041292,0.00021807103366688928
2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,10,25-29 years,605,Polycystic ovarian syndrome,3,Rate,1991,14.749179734959181,30.779826749437483,6.223314188103011
2,DALYs (Disability-Adjusted Life Years),6,China,3,Both,10,25-29 years,605,Polycystic ovarian syndrome,3,Rate,1991,7.169104504607407,14.961089265011838,3.0249539690513494
2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,11,30-34 years,605,Polycystic ovarian syndrome,1,Number,1991,6270.491260873242,13485.89944268965,2701.426862883034
2,DALYs (Disability-Adjusted Life Years),6,China,3,Both,11,30-34 years,605,Polycystic ovarian syndrome,1,Number,1991,6270.491260873242,13485.89944268965,2701.426862883034
2,DALYs (Disability-Adjusted Life Years),6,China,2,Female,11,30-34 years,605,Polycystic ovarian syndrome,2,Percent,1991,0.0008933849275977088,0.0017802844355522482,0.00040092192123714255
2,DALYs (Disability-Adjusted Life Years),6,China,3,Both,11,30-34 years,605,Polycystic ovarian syndrome,2,Percent,1991,0.00041435091639353854,0.0008333033652390264,0.00018628808891114798
